sender,subject,snippet,body,message,Predicted_Label,Label
Sekhmet Jackson <edvardisavirgin@gmail.com>,brunch with family,hi meet at 8 for brunch with family,"hi meet at 8 for brunch with family
","brunch with family hi meet at 8 for brunch with family
",1,Ham
Sekhmet Jackson <edvardisavirgin@gmail.com>,Reunion Invite from Alumni Batch 2003,"Sir, the 2003 alumni batch has invited you as guest of honor for their reunion","  Sir, the 2003 alumni batch has invited you as guest of honor for their
reunion
","Reunion Invite from Alumni Batch 2003   Sir, the 2003 alumni batch has invited you as guest of honor for their
reunion
",1,Ham
Sekhmet Jackson <edvardisavirgin@gmail.com>,Faculty Leaves and Adjustments,Here is the list of faculty leaves for next week. Kindly assign adjustments.,"  Here is the list of faculty leaves for next week. Kindly assign
adjustments.
","Faculty Leaves and Adjustments   Here is the list of faculty leaves for next week. Kindly assign
adjustments.
",1,Ham
Sekhmet Jackson <edvardisavirgin@gmail.com>,Timetable Approval for Next Semester,The timetable for Semester 6 is ready. Please review and approve before Monday.,"  The timetable for Semester 6 is ready. Please review and approve before
Monday.
","Timetable Approval for Next Semester   The timetable for Semester 6 is ready. Please review and approve before
Monday.
",1,Ham
Sekhmet Jackson <edvardisavirgin@gmail.com>,Budget Allocation Deadline,The final budget report must be submitted by 5 PM today for approval.,"  The final budget report must be submitted by 5 PM today for approval.
","Budget Allocation Deadline   The final budget report must be submitted by 5 PM today for approval.
",1,Ham
Sekhmet Jackson <edvardisavirgin@gmail.com>,Weekly Research Committee Review,Please confirm your availability for the research committee review on Wednesday,"  Please confirm your availability for the research committee review on
Wednesday
","Weekly Research Committee Review   Please confirm your availability for the research committee review on
Wednesday
",1,Ham
Sekhmet Jackson <edvardisavirgin@gmail.com>,Lunch Invitation from Chancellor,The Chancellor has invited you for an informal lunch this Friday at 1 PM,"  The Chancellor has invited you for an informal lunch this Friday at 1 PM
","Lunch Invitation from Chancellor   The Chancellor has invited you for an informal lunch this Friday at 1 PM
",1,Ham
Sekhmet Jackson <edvardisavirgin@gmail.com>,Convocation Ceremony Planning,"Dean, kindly review the draft plan for the upcoming convocation event next month","  Dean, kindly review the draft plan for the upcoming convocation event
next month
","Convocation Ceremony Planning   Dean, kindly review the draft plan for the upcoming convocation event
next month
",1,Ham
Sekhmet Jackson <edvardisavirgin@gmail.com>,Faculty Promotion Documents,"Sir, the faculty promotion forms are still pending. Please send by today EOD","  Sir, the faculty promotion forms are still pending. Please send by today
EOD
","Faculty Promotion Documents   Sir, the faculty promotion forms are still pending. Please send by today
EOD
",1,Ham
"""ZOYA PARWEZ (RA2311026010165)"" <zp2501@srmist.edu.in>",Student Grievance Hearing meeting,This is a reminder for the student grievance committee meeting tomorrow at 3 PM,"  This is a reminder for the student grievance committee meeting tomorrow
at 3 PM
","Student Grievance Hearing meeting   This is a reminder for the student grievance committee meeting tomorrow
at 3 PM
",1,Ham
"""ZOYA PARWEZ (RA2311026010165)"" <zp2501@srmist.edu.in>",Urgent: Accreditation Meeting Today,"Dear Dean, please attend the NAAC accreditation meeting at 11:00 AM in Hall B","  Dear Dean, please attend the NAAC accreditation meeting at 11:00 AM in
Hall B
","Urgent: Accreditation Meeting Today   Dear Dean, please attend the NAAC accreditation meeting at 11:00 AM in
Hall B
",1,Ham
Sekhmet Jackson <edvardisavirgin@gmail.com>,urgent meeting,meetingat 7 30 pm for finamizing next week question papers,"meetingat 7 30 pm for finamizing next week question papers
","urgent meeting meetingat 7 30 pm for finamizing next week question papers
",1,Ham
Sekhmet Jackson <edvardisavirgin@gmail.com>,meet scheduling for annual function,hello i will be scheduling a meet with you on monday .kindly let me know the appropriate time,"hello i will be scheduling a meet with you on monday .kindly let me know
the appropriate time
","meet scheduling for annual function hello i will be scheduling a meet with you on monday .kindly let me know
the appropriate time
",1,Ham
Google <no-reply@accounts.google.com>,Security alert,"You allowed dean_secretary_ai access to some of your Google Account data aijarvis79@gmail.com If you didn&#39;t allow dean_secretary_ai access to some of your Google Account data, someone else may be","[image: Google]
You allowed dean_secretary_ai access to some of your Google Account data


aijarvis79@gmail.com

If you didn't allow dean_secretary_ai access to some of your Google Account
data, someone else may be trying to access your Google Account data.

Take a moment now to check your account activity and secure your account.
Check activity
<https://accounts.google.com/AccountChooser?Email=aijarvis79@gmail.com&continue=https://myaccount.google.com/alert/nt/1751782414000?rfn%3D127%26rfnc%3D1%26eid%3D-8019592855825190884%26et%3D0>
To make changes at any time to the access that dean_secretary_ai has to
your data, go to your Google Account
<https://accounts.google.com/AccountChooser?Email=aijarvis79@gmail.com&continue=https://myaccount.google.com/connections/overview/AXgE0HPlAcnqwzOyMkesQqv627az1q0JxY5upWvjsyyVsNZ4YaQ-za_1XOsZ6NIbqD8MLZ3GGNq2ZGdQf3pOvd74_cw?utm_source%3Dsec_alert%26utm_medium%3Demail_notification%26force_all%3Dtrue>
You can also see security activity at
https://myaccount.google.com/notifications
You received this email to let you know about important changes to your
Google Account and services.
© 2025 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA
","Security alert [image: Google]
You allowed dean_secretary_ai access to some of your Google Account data


aijarvis79@gmail.com

If you didn't allow dean_secretary_ai access to some of your Google Account
data, someone else may be trying to access your Google Account data.

Take a moment now to check your account activity and secure your account.
Check activity
<https://accounts.google.com/AccountChooser?Email=aijarvis79@gmail.com&continue=https://myaccount.google.com/alert/nt/1751782414000?rfn%3D127%26rfnc%3D1%26eid%3D-8019592855825190884%26et%3D0>
To make changes at any time to the access that dean_secretary_ai has to
your data, go to your Google Account
<https://accounts.google.com/AccountChooser?Email=aijarvis79@gmail.com&continue=https://myaccount.google.com/connections/overview/AXgE0HPlAcnqwzOyMkesQqv627az1q0JxY5upWvjsyyVsNZ4YaQ-za_1XOsZ6NIbqD8MLZ3GGNq2ZGdQf3pOvd74_cw?utm_source%3Dsec_alert%26utm_medium%3Demail_notification%26force_all%3Dtrue>
You can also see security activity at
https://myaccount.google.com/notifications
You received this email to let you know about important changes to your
Google Account and services.
© 2025 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA
",1,Ham
